,tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province,lat,lon
0,***92517,20180101,16,PARK-WITHIN 9M INTERSECT ROAD,50,0.0,S/S,PRYOR AVE,E/O,CLOVERDALE RD,ON,43.6750863,-79.4620077
1,***71285,20180402,29,PARK PROHIBITED TIME NO PERMIT,30,108.0,S/S,PRYOR AVE,W/O,SILVERTHORN AVE,ON,43.6750863,-79.4620077
2,***71708,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,2.0,NR,266 DOVERCOURT RD,,,ON,43.6490030269231,-79.4247601192308
3,***71709,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,3.0,NR,266 DOVERCOURT RD,,,ON,43.6490030269231,-79.4247601192308
4,***71711,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,5.0,NR,266 DOVERCOURT RD,,,ON,43.6490030269231,-79.4247601192308
5,***22279,20180122,29,PARK PROHIBITED TIME NO PERMIT,30,48.0,NR,266 DOVERCOURT RD,,,NS,43.6490030269231,-79.4247601192308
6,***75572,20180514,29,PARK PROHIBITED TIME NO PERMIT,30,31.0,NR,266 DOVERCOURT RD,,,NS,43.6490030269231,-79.4247601192308
7,***92311,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,2.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
8,***92312,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,2.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
9,***92313,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,3.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
10,***63204,20180306,29,PARK PROHIBITED TIME NO PERMIT,30,4.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
11,***94129,20180310,29,PARK PROHIBITED TIME NO PERMIT,30,6.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
12,***11271,20180330,29,PARK PROHIBITED TIME NO PERMIT,30,3.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
13,***25761,20180410,29,PARK PROHIBITED TIME NO PERMIT,30,5.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
14,***87572,20180413,29,PARK PROHIBITED TIME NO PERMIT,30,3.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
15,***87639,20180414,29,PARK PROHIBITED TIME NO PERMIT,30,3.0,NR,15 FAIRBANK AVE,,,ON,43.6958177,-79.452948175
16,***73023,20180101,3,PARK ON PRIVATE PROPERTY,30,3.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
17,***73024,20180101,3,PARK ON PRIVATE PROPERTY,30,3.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
18,***73025,20180101,3,PARK ON PRIVATE PROPERTY,30,4.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
19,***73026,20180101,3,PARK ON PRIVATE PROPERTY,30,4.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
20,***73027,20180101,3,PARK ON PRIVATE PROPERTY,30,5.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
21,***73028,20180101,3,PARK ON PRIVATE PROPERTY,30,12.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
22,***70692,20180111,3,PARK ON PRIVATE PROPERTY,30,1647.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
23,***70693,20180111,3,PARK ON PRIVATE PROPERTY,30,1650.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
24,***95096,20180121,3,PARK ON PRIVATE PROPERTY,30,136.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
25,***95099,20180121,3,PARK ON PRIVATE PROPERTY,30,139.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
26,***95100,20180121,3,PARK ON PRIVATE PROPERTY,30,140.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
27,***95101,20180121,3,PARK ON PRIVATE PROPERTY,30,141.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
28,***95102,20180121,3,PARK ON PRIVATE PROPERTY,30,143.0,AT,735 COLLEGE ST,,,QC,43.65424085,-79.4193784158416
29,***95103,20180121,3,PARK ON PRIVATE PROPERTY,30,145.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
30,***95104,20180121,3,PARK ON PRIVATE PROPERTY,30,147.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
31,***01037,20180126,3,PARK ON PRIVATE PROPERTY,30,2350.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
32,***01038,20180126,3,PARK ON PRIVATE PROPERTY,30,2353.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
33,***01064,20180127,3,PARK ON PRIVATE PROPERTY,30,51.0,AT,735 COLLEGE ST,,,ON,43.65424085,-79.4193784158416
