tag_number_masked,date_of_infraction,infraction_code,infraction_description,set_fine_amount,time_of_infraction,location1,location2,location3,location4,province
***92517,20180101,16,PARK-WITHIN 9M INTERSECT ROAD,50,0000,S/S,PRYOR AVE,E/O,CLOVERDALE RD,ON
***71708,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,266 DOVERCOURT RD,,,ON
***92311,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,15 FAIRBANK AVE,,,ON
***92312,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0002,NR,15 FAIRBANK AVE,,,ON
***71709,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,266 DOVERCOURT RD,,,ON
***73023,20180101,3,PARK ON PRIVATE PROPERTY,30,0003,AT,735 COLLEGE ST,,,ON
***73024,20180101,3,PARK ON PRIVATE PROPERTY,30,0003,AT,735 COLLEGE ST,,,ON
***92313,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0003,NR,15 FAIRBANK AVE,,,ON
***71710,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0004,NR,262 DOVERCOURT RD,,,ON
***73025,20180101,3,PARK ON PRIVATE PROPERTY,30,0004,AT,735 COLLEGE ST,,,ON
***73026,20180101,3,PARK ON PRIVATE PROPERTY,30,0004,AT,735 COLLEGE ST,,,ON
***71711,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,266 DOVERCOURT RD,,,ON
***71712,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0005,NR,234 DOVERCOURT RD,,,ON
***73027,20180101,3,PARK ON PRIVATE PROPERTY,30,0005,AT,735 COLLEGE ST,,,ON
***71713,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,NR,234 DOVERCOURT RD,,,ON
***92314,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0006,W/S,MIRANDA AVE,N/O,BOWIE AVE,ON
***71714,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0007,NR,234 DOVERCOURT RD,,,ON
***71715,20180101,29,PARK PROHIBITED TIME NO PERMIT,30,0008,NR,234 DOVERCOURT RD,,,ON
