,fine_count,Prediction
2012-01-01,148.0,
2012-02-01,107.0,
2012-03-01,163.0,
2012-04-01,71.0,
2012-05-01,99.0,
2012-06-01,109.0,
2012-07-01,134.0,
2012-08-01,140.0,
2012-09-01,118.0,
2012-10-01,109.0,
2012-11-01,123.0,
2012-12-01,150.0,
2013-01-01,162.0,
2013-02-01,137.0,
2013-03-01,158.0,
2013-04-01,162.0,
2013-05-01,176.0,
2013-06-01,121.0,
2013-07-01,131.0,
2013-08-01,109.0,
2013-09-01,94.0,
2013-10-01,121.0,
2013-11-01,120.0,
2013-12-01,97.0,
2014-01-01,103.0,
2014-02-01,92.0,
2014-03-01,168.0,
2014-04-01,157.0,
2014-05-01,164.0,
2014-06-01,185.0,
2014-07-01,142.0,
2014-08-01,186.0,
2014-09-01,164.0,
2014-10-01,185.0,
2014-11-01,170.0,
2014-12-01,166.0,
2015-01-01,145.0,
2015-02-01,93.0,
2015-03-01,139.0,
2015-04-01,90.0,
2015-05-01,46.0,
2015-06-01,3.0,
2015-07-01,2.0,
2015-08-01,24.0,
2015-09-01,90.0,
2015-10-01,3.0,
2015-11-01,122.0,
2015-12-01,177.0,
2016-01-01,85.0,
2016-02-01,102.0,
2016-03-01,108.0,
2016-04-01,101.0,
2016-05-01,104.0,
2016-06-01,76.0,
2016-07-01,69.0,
2016-08-01,119.0,
2016-09-01,104.0,
2016-10-01,76.0,
2016-11-01,122.0,
2016-12-01,160.0,
2017-01-01,107.0,
2017-02-01,61.0,
2017-03-01,112.0,
2017-04-01,116.0,
2017-05-01,112.0,
2017-06-01,115.0,
2017-07-01,162.0,
2017-08-01,119.0,
2017-09-01,92.0,
2017-10-01,115.0,
2017-11-01,130.0,
2017-12-01,84.0,
2018-01-01,111.0,76.07570131501106
2018-02-01,76.0,52.12257320509488
2018-03-01,115.0,84.79816224435197
2018-04-01,79.0,71.4201308198133
2018-05-01,130.0,63.46810240719337
2018-06-01,82.0,54.26696593164801
2018-07-01,91.0,56.482105285413745
2018-08-01,110.0,68.59893356550049
2018-09-01,66.0,59.89860823752662
2018-10-01,82.0,54.08171805328034
2018-11-01,105.0,81.52910514237531
2018-12-01,147.0,91.9754384906131
2019-01-01,,63.156695918287504
2019-02-01,,37.63702928896153
2019-03-01,,78.21065250620785
2019-04-01,,56.90807390909878
2019-05-01,,55.293627572735815
2019-06-01,,41.702004073590444
2019-07-01,,46.90769626215607
2019-08-01,,57.203975343630944
2019-09-01,,49.70577542526263
2019-10-01,,43.242667415296005
2019-11-01,,71.15053198215422
2019-12-01,,81.40594771647751
