,fine_count,Prediction
2012-01-01,155.0,
2012-02-01,160.0,
2012-03-01,142.0,
2012-04-01,180.0,
2012-05-01,180.0,
2012-06-01,253.0,
2012-07-01,221.0,
2012-08-01,255.0,
2012-09-01,213.0,
2012-10-01,253.0,
2012-11-01,222.0,
2012-12-01,165.0,
2013-01-01,193.0,
2013-02-01,162.0,
2013-03-01,198.0,
2013-04-01,170.0,
2013-05-01,198.0,
2013-06-01,223.0,
2013-07-01,167.0,
2013-08-01,167.0,
2013-09-01,171.0,
2013-10-01,223.0,
2013-11-01,215.0,
2013-12-01,110.0,
2014-01-01,157.0,
2014-02-01,157.0,
2014-03-01,215.0,
2014-04-01,165.0,
2014-05-01,213.0,
2014-06-01,249.0,
2014-07-01,227.0,
2014-08-01,176.0,
2014-09-01,214.0,
2014-10-01,249.0,
2014-11-01,213.0,
2014-12-01,148.0,
2015-01-01,197.0,
2015-02-01,147.0,
2015-03-01,194.0,
2015-04-01,179.0,
2015-05-01,146.0,
2015-06-01,141.0,
2015-07-01,174.0,
2015-08-01,137.0,
2015-09-01,168.0,
2015-10-01,141.0,
2015-11-01,106.0,
2015-12-01,116.0,
2016-01-01,136.0,
2016-02-01,155.0,
2016-03-01,136.0,
2016-04-01,156.0,
2016-05-01,179.0,
2016-06-01,143.0,
2016-07-01,163.0,
2016-08-01,102.0,
2016-09-01,180.0,
2016-10-01,143.0,
2016-11-01,175.0,
2016-12-01,144.0,
2017-01-01,106.0,
2017-02-01,74.0,
2017-03-01,108.0,
2017-04-01,165.0,
2017-06-01,11.0,
2017-07-01,86.0,
2017-08-01,134.0,
2017-09-01,148.0,
2017-10-01,191.0,
2017-11-01,140.0,
2017-12-01,110.0,
2018-01-01,113.0,103.30790949588147
2018-02-01,86.0,100.39867997710454
2018-03-01,142.0,99.16952250668139
2018-04-01,142.0,99.75857832608598
2018-05-01,150.0,133.22175517782472
2018-06-01,137.0,87.75130083703338
2018-07-01,161.0,93.54666791422648
2018-08-01,149.0,123.56403784665324
2018-09-01,170.0,90.57617724659832
2018-10-01,137.0,154.47289874384094
2018-11-01,150.0,111.40983638614496
2018-12-01,131.0,118.96913712545155
2019-01-01,,96.57292583500966
2019-02-01,,71.30512087715329
2019-03-01,,50.383356182995584
2019-04-01,,70.88847540664683
2019-05-01,,118.17407402755823
2019-06-01,,5.023584586824356
2019-07-01,,52.824465995407486
2019-08-01,,93.23658427727773
2019-09-01,,88.54354432969625
2019-10-01,,138.8413002382784
2019-11-01,,90.17717693795656
2019-12-01,,73.85449182941522
