,fine_count,Prediction
2012-01-01,256.0,
2012-02-01,196.0,
2012-03-01,185.0,
2012-04-01,188.0,
2012-05-01,191.0,
2012-06-01,150.0,
2012-07-01,183.0,
2012-08-01,219.0,
2012-09-01,221.0,
2012-10-01,150.0,
2012-11-01,188.0,
2012-12-01,145.0,
2013-01-01,147.0,
2013-02-01,154.0,
2013-03-01,162.0,
2013-04-01,202.0,
2013-05-01,233.0,
2013-06-01,221.0,
2013-07-01,256.0,
2013-08-01,145.0,
2013-09-01,179.0,
2013-10-01,221.0,
2013-11-01,136.0,
2013-12-01,122.0,
2014-01-01,170.0,
2014-02-01,151.0,
2014-03-01,142.0,
2014-04-01,151.0,
2014-05-01,139.0,
2014-06-01,123.0,
2014-07-01,184.0,
2014-08-01,155.0,
2014-09-01,138.0,
2014-10-01,123.0,
2014-11-01,129.0,
2014-12-01,117.0,
2015-01-01,120.0,
2015-02-01,112.0,
2015-03-01,133.0,
2015-04-01,129.0,
2015-05-01,141.0,
2015-06-01,60.0,
2015-07-01,154.0,
2015-08-01,99.0,
2015-09-01,129.0,
2015-10-01,60.0,
2015-11-01,138.0,
2015-12-01,147.0,
2016-01-01,129.0,
2016-02-01,75.0,
2016-03-01,178.0,
2016-04-01,176.0,
2016-05-01,162.0,
2016-06-01,150.0,
2016-07-01,104.0,
2016-08-01,127.0,
2016-09-01,140.0,
2016-10-01,150.0,
2016-11-01,125.0,
2016-12-01,186.0,
2017-01-01,160.0,
2017-02-01,164.0,
2017-03-01,210.0,
2017-04-01,113.0,
2017-05-01,162.0,
2017-06-01,117.0,
2017-07-01,149.0,
2017-08-01,161.0,
2017-09-01,112.0,
2017-10-01,117.0,
2017-11-01,158.0,
2017-12-01,96.0,
2018-01-01,119.0,140.17303855349206
2018-02-01,94.0,132.04736979858086
2018-03-01,126.0,157.7296317521324
2018-04-01,123.0,152.62835713730286
2018-05-01,148.0,166.1879926554629
2018-06-01,86.0,134.20527409430866
2018-07-01,135.0,171.37077890335863
2018-08-01,114.0,153.14305820798205
2018-09-01,62.0,157.65037675438228
2018-10-01,86.0,143.8412847980079
2018-11-01,49.0,154.7250507884055
2018-12-01,41.0,148.25636379280147
2019-01-01,,165.62662275765052
2019-02-01,,148.6454475436836
2019-03-01,,177.63071337093672
2019-04-01,,172.33789970365555
2019-05-01,,186.86996904816303
2019-06-01,,155.47710176656742
2019-07-01,,193.35834927515964
2019-08-01,,175.80494981077
2019-09-01,,181.00021841253135
2019-10-01,,167.87459224933912
2019-11-01,,179.4432994799513
2019-12-01,,173.65906826143598
